test_id,PM2.5,PM10,PMO3
aotizhongxin_aq#0,276.06937,1027.27109,76.52764468
aotizhongxin_aq#1,276.06937,1029.580691,94.83532357
aotizhongxin_aq#10,276.06937,595.0141933,107.0205545
aotizhongxin_aq#11,276.06937,561.8291452,99.84337617
aotizhongxin_aq#12,276.06937,536.1543622,93.10153811
aotizhongxin_aq#13,276.06937,508.8479124,87.17034982
aotizhongxin_aq#14,276.06937,484.2990682,82.30520501
aotizhongxin_aq#15,276.06937,458.8128563,78.64545091
aotizhongxin_aq#16,276.06937,435.1623708,76.22535153
aotizhongxin_aq#17,276.06937,413.6668105,74.99017008
aotizhongxin_aq#18,276.06937,394.2950065,74.81539862
aotizhongxin_aq#19,276.06937,377.8960639,75.52729673
aotizhongxin_aq#2,276.06937,964.703733,109.4569244
aotizhongxin_aq#20,276.06937,366.2023178,76.92313511
aotizhongxin_aq#21,276.06937,358.850752,78.78984009
aotizhongxin_aq#22,276.06937,354.6450714,80.92007032
aotizhongxin_aq#23,276.06937,363.5201101,83.12509811
aotizhongxin_aq#24,276.06937,355.6768177,85.24419174
aotizhongxin_aq#25,276.06937,344.3445077,87.1504823
aotizhongxin_aq#26,276.06937,330.0001918,88.75353715
aotizhongxin_aq#27,276.06937,316.6080349,89.9990434
aotizhongxin_aq#28,276.06937,304.3433825,90.86612819
aotizhongxin_aq#29,276.06937,292.9576299,91.36290846
aotizhongxin_aq#3,276.06937,903.2202818,120.057985
aotizhongxin_aq#30,276.06937,282.2695381,91.52087766
aotizhongxin_aq#31,276.06937,272.4364702,91.3887089
aotizhongxin_aq#32,276.06937,263.2916246,91.02599135
aotizhongxin_aq#33,276.06937,254.8736502,90.4973311
aotizhongxin_aq#34,276.06937,246.9816017,89.86714775
aotizhongxin_aq#35,276.06937,239.6170762,89.19539334
aotizhongxin_aq#36,276.06937,233.0706216,88.53431922
aotizhongxin_aq#37,276.06937,226.7934379,87.92632393
aotizhongxin_aq#38,276.06937,221.0098546,87.40283717
aotizhongxin_aq#39,276.06937,215.485317,86.98413347
aotizhongxin_aq#4,276.06937,849.1559096,126.6317538
aotizhongxin_aq#40,276.06937,210.3555967,86.67992535
aotizhongxin_aq#41,276.06937,205.6182037,86.4905601
aotizhongxin_aq#42,276.06937,201.2521545,86.40863423
aotizhongxin_aq#43,276.06937,197.2880014,86.42084471
aotizhongxin_aq#44,276.06937,193.8079037,86.50991147
aotizhongxin_aq#45,276.06937,190.7757863,86.65642994
aotizhongxin_aq#46,276.06937,188.109182,86.84054199
aotizhongxin_aq#47,276.06937,186.3610094,87.04334494
aotizhongxin_aq#5,276.06937,799.0295998,129.4423318
aotizhongxin_aq#6,276.06937,750.479588,128.959622
aotizhongxin_aq#7,276.06937,707.0271738,125.7918739
aotizhongxin_aq#8,276.06937,666.45143,120.6207599
aotizhongxin_aq#9,276.06937,630.0861252,114.1428902
badaling_aq#0,214.9944675,884.2955649,38.92438106
badaling_aq#1,197.5936226,838.0540664,53.8569542
badaling_aq#10,138.6847068,483.1587512,100.0462111
badaling_aq#11,136.3871945,473.6510062,91.23711567
badaling_aq#12,135.7804537,458.022382,81.92745668
badaling_aq#13,137.2252692,461.7680086,72.14944199
badaling_aq#14,137.3228136,446.2439299,61.63723207
badaling_aq#15,136.4798539,438.843422,52.39920866
badaling_aq#16,136.4350998,415.7504115,47.15619792
badaling_aq#17,135.867081,398.0752688,44.88350176
badaling_aq#18,126.5084695,364.6004822,44.51558045
badaling_aq#19,119.3639461,321.5963259,46.00330711
badaling_aq#2,182.875354,796.548656,68.79948375
badaling_aq#20,116.5700338,296.1599476,48.67605464
badaling_aq#21,112.54397,276.8792475,57.17884549
badaling_aq#22,117.4275409,276.4318549,64.92605397
badaling_aq#23,117.9358087,261.3011862,72.85859108
badaling_aq#24,119.8215836,252.2882768,82.22277377
badaling_aq#25,121.2406935,244.7850976,91.15541108
badaling_aq#26,122.443823,239.6605706,99.03584704
badaling_aq#27,123.4471418,234.6186042,105.2712863
badaling_aq#28,124.2297301,232.8238596,109.4088836
badaling_aq#29,124.7394651,220.7722553,111.1675925
badaling_aq#3,170.6231925,755.9395515,82.42843241
badaling_aq#30,125.1295334,218.6192589,110.4561399
badaling_aq#31,125.5145768,216.4780531,107.3760294
badaling_aq#32,125.7341832,213.2267045,102.209648
badaling_aq#33,125.9484698,210.8097654,95.39470113
badaling_aq#34,126.0588965,206.7307446,87.48722432
badaling_aq#35,126.2484491,198.6293191,79.11625661
badaling_aq#36,126.2972395,197.8480814,70.93383739
badaling_aq#37,126.1749699,205.0147534,63.56427342
badaling_aq#38,126.1656771,203.1758689,57.55659739
badaling_aq#39,126.2352751,203.4238066,53.34381234
badaling_aq#4,161.0696868,715.1809595,93.06507795
badaling_aq#40,126.2383464,196.3541537,51.21191959
badaling_aq#41,126.2853185,193.7899366,51.28091226
badaling_aq#42,127.0673022,162.1789693,53.49894987
badaling_aq#43,127.6642804,117.9306909,57.6498894
badaling_aq#44,127.8976187,93.7305625,63.37331604
badaling_aq#45,128.2340186,74.48204164,70.19527173
badaling_aq#46,127.8256162,90.57157333,77.56709364
badaling_aq#47,127.7830201,84.70666298,84.9092032
badaling_aq#5,154.8247457,674.6025427,101.8018455
badaling_aq#6,150.0455732,613.2719496,107.7854052
badaling_aq#7,145.3528638,584.184604,110.3680102
badaling_aq#8,142.6592925,546.147734,109.4725657
badaling_aq#9,140.0448729,497.601572,106.2052795
beibuxinqu_aq#0,207.6826264,1100.429122,69.11810749
beibuxinqu_aq#1,208.0963019,1085.721017,81.9461412
beibuxinqu_aq#10,210.3442649,894.9590797,118.5071747
beibuxinqu_aq#11,211.1347409,876.2744348,108.2555665
beibuxinqu_aq#12,210.3057402,858.0991487,97.59569991
beibuxinqu_aq#13,209.7197914,840.4193375,85.6335767
beibuxinqu_aq#14,209.6505952,823.2214945,71.90915845
beibuxinqu_aq#15,209.5277168,806.4924808,63.86438086
beibuxinqu_aq#16,208.9816213,790.2195157,60.72675841
beibuxinqu_aq#17,209.5739819,774.3901669,56.91680271
beibuxinqu_aq#18,209.3813738,758.9923409,53.49980436
beibuxinqu_aq#19,209.805319,744.0142742,55.26172642
beibuxinqu_aq#2,208.7072185,1063.951612,95.23224902
beibuxinqu_aq#20,209.2950868,729.4445236,56.38361839
beibuxinqu_aq#21,205.3747723,715.271958,57.76272011
beibuxinqu_aq#22,199.6487996,701.4857499,63.09968506
beibuxinqu_aq#23,197.6643122,688.0753668,70.81362928
beibuxinqu_aq#24,197.3534964,675.0305633,78.13805349
beibuxinqu_aq#25,197.3048155,662.3413734,87.67846884
beibuxinqu_aq#26,197.297191,649.9981026,94.79868838
beibuxinqu_aq#27,197.2959968,637.9913211,100.8710064
beibuxinqu_aq#28,197.2958098,626.3118556,107.38052
beibuxinqu_aq#29,197.2957805,614.9507834,110.826775
beibuxinqu_aq#3,208.8387222,1041.127369,104.5968158
beibuxinqu_aq#30,197.2957759,603.8994246,111.5756205
beibuxinqu_aq#31,197.2957752,593.1493362,112.3331752
beibuxinqu_aq#32,197.2957751,582.6923053,110.1729252
beibuxinqu_aq#33,197.2957751,572.5203429,105.3689713
beibuxinqu_aq#34,197.2957751,562.6256778,100.9695875
beibuxinqu_aq#35,197.2957751,553.0007505,95.192335
beibuxinqu_aq#36,197.2957751,543.6382077,87.66571671
beibuxinqu_aq#37,197.2957751,534.5308966,81.76174859
beibuxinqu_aq#38,197.2957751,525.6718594,76.25775006
beibuxinqu_aq#39,197.2957751,517.0543278,70.27816883
beibuxinqu_aq#4,208.9511909,1018.561256,115.44117
beibuxinqu_aq#40,197.2957751,508.6717183,66.78218426
beibuxinqu_aq#41,197.2957751,500.5176265,65.06715369
beibuxinqu_aq#42,197.2957751,492.5858229,63.4749999
beibuxinqu_aq#43,197.2957751,484.8702478,64.40416182
beibuxinqu_aq#44,197.2957751,477.3650064,67.38822639
beibuxinqu_aq#45,197.2957751,470.064365,70.23282187
beibuxinqu_aq#46,197.2957751,462.9627459,74.60429836
beibuxinqu_aq#47,197.2957751,456.0547236,80.40679109
beibuxinqu_aq#5,209.4195582,996.5298964,122.0759067
beibuxinqu_aq#6,209.6623911,975.0813691,129.8652964
beibuxinqu_aq#7,209.891074,954.2136251,131.4475503
beibuxinqu_aq#8,210.0882403,933.9138887,128.7041228
beibuxinqu_aq#9,210.140792,914.1673508,122.639044
daxing_aq#0,141.046801,852.8329851,42.61599932
daxing_aq#1,151.5838083,773.2537119,51.80251179
daxing_aq#10,94.35040426,405.6664051,98.47126692
daxing_aq#11,90.91347725,375.9127672,94.83146546
daxing_aq#12,87.53513903,360.0060468,91.41461034
daxing_aq#13,84.21526903,335.4989059,87.82827523
daxing_aq#14,82.19096694,322.9747382,83.28880481
daxing_aq#15,80.87531243,302.7681183,77.61105069
daxing_aq#16,78.55834537,292.9400888,74.03999485
daxing_aq#17,77.27582271,276.2613415,71.5049403
